Disease,Biological Name,Remedy,Medical Records,Drugs,Side Effects,Symptoms,Lab Research,Treatment Duration,Prevention Methods,Additional Symptoms,Secondary Symptoms,Treatment Options,Long-term Management,Lifestyle Recommendations,Preventive Measures,Recovery Duration,Vaccination,Hygiene Practices
Flu,Influenza,Rest, hydration, and antiviral medication,Yes,Tamiflu,Nausea, cough, fever, headache,Fever, chills, fatigue, sore throat,Yes,7-10 days,Seasonal flu vaccine, hand hygiene
Asthma,Asthma (bronchial),Inhaled corticosteroids,Yes,Fluticasone,Throat irritation, shortness of breath, wheezing, chest tightness,Shortness of breath, coughing, wheezing,Yes,Indefinite,Avoid triggers, use of inhalers,,,
Hypertension,Hypertension (high blood pressure),Lifestyle changes and medication,Yes,Amlodipine,Dizziness, headaches, fatigue,Elevated blood pressure, headaches, dizziness,Yes,Life-long,Regular exercise, reduced salt intake,,,,
Diabetes Type 2,Diabetes Mellitus,Metformin and insulin therapy,Yes,Metformin,Stomach upset, low blood sugar,Frequent urination, increased thirst, fatigue,Yes,Indefinite,Healthy diet, exercise, blood sugar monitoring,,,,
Cancer (Lung),Non-Small Cell Lung Cancer (NSCLC),Surgery, chemotherapy, and radiation,Yes,Cisplatin,Fatigue, nausea, hair loss,Coughing, difficulty breathing, weight loss,Yes,Varies (depending on stage),Avoid smoking, regular screening,,
Migraine,Migraine,Analgesics and triptans,Yes,Sumatriptan,Drowsiness, dizziness, nausea,Throbbing headache, nausea, light sensitivity,Yes,Short-term (during episodes),Stress management, regular sleep patterns,,,,
Arthritis,Osteoarthritis,NSAIDs and physical therapy,Yes,Ibuprofen,Gastric upset, kidney damage,Pain in joints, stiffness, reduced mobility,Yes,Life-long,Weight management, regular exercise,,,,,
HIV/AIDS,Human Immunodeficiency Virus (HIV),Antiretroviral therapy (ART),Yes,Efavirenz,Fatigue, nausea, headaches,Fever, fatigue, weight loss, swollen lymph nodes,Yes,Life-long,Safe sex practices, needle safety,,,
Pneumonia,Pneumococcal bacteria or viral,Antibiotics and/or antivirals,Yes,Amoxicillin,Allergic reactions, fever,Cough, fever, shortness of breath, chest pain,Yes,2-4 weeks,Pneumococcal vaccine, hand hygiene,,,,
Anemia,Iron Deficiency Anemia,Iron supplements and dietary changes,Yes,Iron sulfate,Constipation, stomach upset,Fatigue, pale skin, dizziness,Yes,1-3 months,Iron-rich diet, avoid excessive blood loss,,,,,
Celiac Disease,Celiac Sprue,Gluten-free diet,Yes,,No known side effects,Abdominal pain, diarrhea, bloating, fatigue,Yes,Life-long,Strict adherence to a gluten-free diet,,,,,,
Chronic Fatigue Syndrome,Myalgic Encephalomyelitis (ME),Symptom management (sleep, pain relief),Yes,Amantadine,Drowsiness, sleep disturbances,Fatigue, poor sleep, muscle pain, cognitive difficulties,Yes,Indefinite,Regular rest, stress management,,,
Alzheimer's Disease,Alzheimer's,Cholinesterase inhibitors,Yes,Donepezil,Nausea, diarrhea, muscle cramps,Memory loss, confusion, difficulty speaking,Yes,Life-long,Engagement in mental exercises, social activities,,,,
Parkinson's Disease,Parkinsonism,Levodopa,Yes,Levodopa, nausea, dizziness, dyskinesia,Resting tremor, bradykinesia, rigidity, balance issues,Yes,Life-long,Regular exercise, dopamine replacement therapy,,,
Eczema,Atopic Dermatitis,Topical corticosteroids and moisturizers,Yes,Hydrocortisone,Thinning skin, redness, itching,Rash, itching, dry patches,Yes,Varies,Moisturize, avoid allergens,,,,
Hepatitis B,HBV,Antiviral medications (e.g., tenofovir),Yes,Tenofovir,Headache, nausea,Fatigue, yellowing skin, abdominal pain,Yes,1-6 months,HBV vaccination, safe sex practices,,,,
Sickle Cell Anemia,Sickle Cell Disease,Hydroxyurea and blood transfusions,Yes,Hydroxyurea,Fatigue, nausea,Pain episodes, anemia, delayed growth,Yes,Life-long,Genetic counseling, preventive care,,,,,
Gout,Gout,NSAIDs and urate-lowering medications,Yes,Colchicine,Gastric upset, diarrhea, joint pain,Swollen, painful joints (especially big toe), redness,Yes,Varies (depends on episodes),Avoid high-purine foods, drink plenty of water,,,,
Tuberculosis (Latent),Mycobacterium tuberculosis,Antibiotics,Yes,Isoniazid,Liver damage, neuropathy,No symptoms, but potential for active TB,Yes,6-9 months,TB screening, early detection,,,,,,
Multiple Sclerosis,Multiple Sclerosis,Immunosuppressive therapy,Yes,Interferon Beta,Fatigue, flu-like symptoms, muscle pain,Numbness, walking difficulties, vision problems,Yes,Indefinite,Early diagnosis, medication adherence,,,,
Chronic Obstructive Pulmonary Disease (COPD),Chronic Bronchitis, and Emphysema,Bronchodilators and steroids,Yes,Salbutamol,Dry mouth, tremors, heart palpitations,Shortness of breath, cough, wheezing, chronic mucus production,Yes,Life-long,Avoid smoking, pulmonary rehabilitation,,
Tuberculosis,Mycobacterium tuberculosis,Antibiotics (e.g., Rifampin),Yes,Rifampin,Liver toxicity, nausea,Coughing, weight loss, fever, night sweats,Yes,6-12 months,Proper vaccination, avoid close contact,,,
